base=17 width=4
---------------------------------
MGA0-KD5N=2346, 2346+RQPO=11111
9HA0-7E5N=2346, 2346+RQPO=11111
BHA0-9E5N=2346, 2346+RQPO=11111
DHA0-BE5N=2346, 2346+RQPO=11111
FHA0-DE5N=2346, 2346+RQPO=11111
IHA0-GE5N=2346, 2346+RQPO=11111
KHA0-IE5N=2346, 2346+RQPO=11111
time used: 39.262322
number of solutions: 796724927

